,Idealista,Planta baja en Palma de Mallorca,1.600,3,115,13.91
,Idealista,Estudio en Cecilo Metelo - Pollença,600,1,50,12000.00
,Idealista,Piso en Calle Son Carbo - Campos,900,3,110,8181.82
,Idealista,Piso en Carrer Antich - Palma de Mallorca,1.300,4,134,9.70
,Idealista,Dúplex en Carrer Can Sales - 11a - Palma de Mallorca,1.490,2,90,16.56
,Idealista,Piso en Carrer Josep Rover Motta - 4a - Palma de Mallorca,1.690,3,80,21.12
,Idealista,Apartamento en Carrer del Carme - 27 - Palma de Mallorca,1.690,3,100,16.90
,Idealista,Piso en Santa Margalida,1.600,3,120,13.33
,Idealista,Casa o chalet en Algaida,1.300,1,80,16.25
,Idealista,Casa adosada en Calvià,2.800,4,140,20.00
,Idealista,Piso en Carrer Aragó - Palma de Mallorca,1.210,1,76,15.92
,Idealista,Piso en Carrer Margalides - Calvià,1.400,2,110,12.73
,Idealista,Piso en Carrer Aragó - Palma de Mallorca,1.140,1,77,14.81
,Idealista,Apartamento en Avinguda Sant Ferran - Palma de Mallorca,850,1,60,14166.67
,Idealista,Casa adosada en Calvià,2.000,4,140,14.29
,Idealista,Casa o chalet en Sineu,1.200,4,190,6.32
,Idealista,Apartamento en Carrer Pina - Palma de Mallorca,850,1,60,14166.67
,Idealista,Piso en Palma de Mallorca,1.250,2,105,11.90
,Idealista,Ático en Palma de Mallorca,1.100,2,70,15.71
,Idealista,Piso en Palma de Mallorca,1.200,1,119,10.08
,Idealista,Apartamento en Palma de Mallorca,1.600,3,103,15.53
,Idealista,Ático en Palma de Mallorca,1.100,2,75,14.67
,Idealista,Piso en Palma de Mallorca,1.100,3,150,7.33
,Idealista,Piso en Palma de Mallorca,1.100,3,100,11.00
,Idealista,Apartamento en Carrer Jardí Botànic - 8 - Palma de Mallorca,1.390,2,65,21.38
,Idealista,Piso en Calle Carrer Vallseca - Palma de Mallorca,1.200,2,95,12.63
,Idealista,Casa o chalet en 4 - S/n - Pollença,1.500,2,100,15.00
