,Idealista,Ático en Artà,1.500,2,75
,Idealista,Casa o chalet en Pollença,4.200,4,250
,Idealista,Apartamento en Palma de Mallorca,3.500,3,200
,Idealista,Ático en Apol.l, Alcúdia,2.950,4,185
,Idealista,Casa o chalet en Manacor,3.500,3,300
,Idealista,Casa o chalet en Calvià,8.000,6,320
,Idealista,Casa o chalet en Manacor,2.500,4,200
,Idealista,Piso en Carrer Des Pinaro, 3, Son Servera,2.100,3,120
,Idealista,Piso en Palma de Mallorca,1.400,4,125
,Idealista,Piso en De Jaume Villanueva, Palma de Mallorca,1.550,2,80
,Idealista,Apartamento en Palma de Mallorca,1.150,1,65
,Idealista,Casa adosada en Paseo Alfonso XIII, Llucmajor,2.500,5,260
,Idealista,Piso en Palma de Mallorca,1.375,4,120
,Idealista,Casa adosada en Selva,1.300,3,153
,Idealista,Piso en Palma de Mallorca,1.200,1,52
,Idealista,Piso en Santa Margalida,1.600,3,98
,Idealista,Casa o chalet en Manacor,1.350,2,115
,Idealista,Planta baja en Calvià,2.500,3,104
,Idealista,Piso en Palma de Mallorca,975,1,56
,Idealista,Piso en Femenies, Palma de Mallorca,1.300,4,139
,Idealista,Piso en Palma de Mallorca,1.200,1,52
,Idealista,Piso en Calvià,2.550,2,120
,Idealista,Piso en Carrer de Gràcia, Llucmajor,1.800,2,85
,Idealista,Apartamento en Palma de Mallorca,2.600,3,135
,Idealista,Piso en Palma de Mallorca,2.860,3,122
,Idealista,Piso en Palma de Mallorca,2.530,2,106
,Idealista,Piso en Palma de Mallorca,1.500,3,90
,Idealista,Casa o chalet en Manacor,2.700,4,450
,Idealista,Casa adosada en Manacor-porto Cristo, Manacor,900,1,65
,Idealista,Finca rústica en Costitx,2.200,4,180
,Idealista,Casa adosada en Alcúdia,1.500,3,100
,Idealista,Piso en Palma de Mallorca,1.400,4,120
,Idealista,Ático en Llucmajor,1.500,4,197
,Idealista,Casa o chalet en Llucmajor,2.650,3,230
,Idealista,Apartamento en Palma de Mallorca,1.100,2,70
,Idealista,Finca rústica en Binissalem,2.900,4,395
,Idealista,Ático en Palma de Mallorca,1.990,3,130
,Idealista,Finca rústica en Manacor,3.000,4,350
,Idealista,Piso en Palma de Mallorca,2.200,4,150
,Idealista,Casa adosada en Calvià,2.000,3,220
,Idealista,Finca rústica en Sant Llorenç des Cardassar,8.350,18,1355
,Idealista,Casa o chalet en Carrer de Ses Escoles, Selva,2.500,2,100
,Idealista,Apartamento en Artà,1.700,3,407
,Idealista,Piso en Palma de Mallorca,1.500,3,120
,Idealista,Piso en Palma de Mallorca,1.400,3,120
,Idealista,Piso en Carrer del Bastió D'en Sanoguera, Palma de Mallorca,1.950,4,195
,Idealista,Piso en Carrer de Méndez Núñez, Pollença,1.150,3,112
,Idealista,Piso en Palma de Mallorca,1.100,2,130
,Idealista,Casa o chalet en Palma de Mallorca,2.200,4,231
,Idealista,Ático en Palma de Mallorca,1.500,4,160
,Idealista,Piso en Palma de Mallorca,1.000,2,70
,Idealista,Piso en Carrer Estrella de Mar, Ses Salines,1.000,3,101
,Idealista,Apartamento en Carrer de Sant Ramon de Penyafort, Sóller,950,1,60
,Idealista,Casa o chalet en Santanyí,2.500,4,100
